campaign_id,Campaign Name,audience_segment_a,audience_segment_b,Name from,Sending date,Daily revenue,Subject,Sent,Non delivered,Hard bounces,Soft bounces,Non delivered rate,Delivered,Total opens,Opens,Trackable open rate,Apple MPP Opens,Total clicked,Clicked,Click rate,Click-to-Open rate,Unsubscribed,Unsubscription rate,Delivered rate,Hard Bounces rate,Soft Bounces rate,Complaints,Complaints rate,Audience Segment A IDs,Audience Segment B IDs
1806,YFS - Redirect - Fluent - RewardsGiant £750 Tesco (Day Batched Send),"96 - recent registration & 3 month clickers,117 - Registered past month","163 - Has FLUENT ID,98 - opened 5 + never clicked",750 Tesco Reward Via Your Freebie Style,2025-09-01,360.19,contact.FIRSTNAME }} when was your last Tesco shop?,29279,15,2,14,0.0005,29264,4492,3259,0.1318,4532,828,654,0.0223,0.2007,79,0.0027,0.9995,0.0001,0.0005,2,0.0001,[],[]
1807,YFS - Redirect - Adstart Media - iPhone 16 (July25) (Batched),97 - Recent registrations + 1 month clickers,"146 - Clicked adstart iphone,98 - opened 5+ never clicked past month",Iphone 16 Via Your Freebie Style,2025-09-01,0.0,contact.FIRSTNAME }} Your iPhone 16 Entry Needs Confirmation,24120,3,0,3,0.0001,24117,5408,3615,0.17620000000000002,3596,1006,681,0.0282,0.1884,92,0.0038,0.9998999999999999,0.0,0.0001,0,0.0,[],[]
1809,YFS - Redirect - Little Star Media - Super Free Bingo (April25) (Batched Send),150,"94,183",Your Freebie Style,2025-09-02,463.77,"contact.FIRSTNAME | default : ""Hey ""}} here’s your 10 free spins!",16946,2,0,5,0.0001,16944,6542,4932,0.3285,1932,317,241,0.014199999999999999,0.0489,77,0.0045000000000000005,0.9998999999999999,0.0,0.0003,4,0.0002,[150],"[94, 183]"
1811,YFS - Redirect - YouSweep - Tesco (Batched),97,"98,177",100 Tesco Via Your Freebie Style,2025-09-02,0.0,contact.FIRSTNAME }} Your £100 Tesco Gift Card Entry Needs Confirmation,25078,7,0,7,0.0003,25071,5407,3765,0.17620000000000002,3709,1299,855,0.0341,0.2271,76,0.003,0.9997,0.0,0.0003,0,0.0,[97],"[98, 177]"
1791,YFS - Redirect - Gaming Redirect (cascade),170 - 9 month clickers,"94 - DO NOT SEND GAMBING,171 - visited Gaming Redirect",Welcome Bonus Via Your Freebie Style,2025-09-03,478.54,contact.FIRSTNAME }} You've Got a New Bonus!,17623,14,0,7,,17637,4246,3209,0.2321,3812,394,307,0.0174,0.09570000000000001,93,0.0053,,0.0,0.0004,1,0.0001,[],[]
1808,YFS - Redirect - Magnetise - Omaze House Draw,150,"89,182",Omaze Via Your Freebie Style,2025-09-03,0.0,contact.FIRSTNAME | default : 'Hello' }} You Could Win This £3m House,11868,2,0,2,0.0002,11866,4239,3125,0.2938,1229,359,257,0.0217,0.08220000000000001,30,0.0025,0.9998,0.0,0.0002,0,0.0,[150],"[89, 182]"
1812,YFS - Redirect - Leadscale Labs - Survey Spotter (Mar25 creative),96,130,Get Paid Via Your Freebie Style,2025-09-03,0.0,contact.FIRSTNAME }} choose a payment method,25063,9,0,9,0.0004,25054,4024,2957,0.1406,4017,491,376,0.015,0.1272,63,0.0025,0.9995999999999999,0.0,0.0004,1,0.0,[96],[130]
1810,YFS - Redirect - Little Star Media - Super Free Slots (new offer) (batched),150,"94,184",Your Freebie Style,2025-09-04,482.75,"contact.FIRSTNAME | default : ""Hello "" }} Claim An Exclusive 50 Free Spins!",17417,5,2,3,0.0003,17412,6629,4997,0.3224,1915,172,135,0.0078000000000000005,0.027000000000000003,67,0.0038,0.9997,0.0001,0.0002,4,0.0002,[150],"[94, 184]"
1815,YFS - Redirect - HeyPiggy (Jul25 Creative),"46,141",98,Paypal Cash Via Your Freebie Style,2025-09-04,0.0,contact.FIRSTNAME }} Your Free PayPal Cash Is Waiting,37782,51,12,39,0.0013,37731,6807,4730,0.1399,3911,1636,1176,0.031200000000000002,0.2486,100,0.0027,0.9987,0.0003,0.001,1,0.0,"[46, 141]",[98]
1817,YFS - Redirect - XL Win - Kinder chocolate (Batched),150,,Kinder Products Via Your Freebie Style,2025-09-05,390.2,"contact.FIRSTNAME | default : ""Hey "" }} - Sweet Survey: What's Your Favourite Kinder Treat? 🍫🍫",18053,1,0,1,0.0001,18052,7629,5630,0.35200000000000004,2056,657,521,0.028900000000000002,0.0925,64,0.0034999999999999996,0.9998999999999999,0.0,0.0001,0,0.0,[150],[]
1818,YFS - Redirect - Clickwork7 - Custard (May25),96,147,Free £2 Via Your Freebie Style,2025-09-05,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Top pick: Claim your £2 bonus",25723,6,0,6,0.0002,25717,3682,2607,0.1206,4108,295,218,0.0085,0.0836,56,0.0022,0.9998,0.0,0.0002,3,0.0001,[96],[147]
1814,YFS - Redirect - SB Digital - Captain Free Spins (HTML) (Batch Send),150,94,120 Spins Via Your Freebie Style,2025-09-06,398.46,"contact.FIRSTNAME | default : ""Hey "" }} 120 Free Spins!",18511,6,1,5,0.0003,18505,7017,5322,0.3235,2053,246,177,0.0096,0.0333,78,0.0042,0.9997,0.0001,0.0003,4,0.0002,[150],[94]
1819,YFS - Redirect - FreeClub £50 B&M (Jul25),"96,181","157,182",50 B&M Via Your Freebie Style,2025-09-06,0.0,contact.FIRSTNAME | default : 'Hello'}} weekly £50 B&M Gift Card giveaway!,33799,50,6,44,0.0015,33749,6145,4418,0.155,5249,1038,770,0.022799999999999997,0.1743,74,0.0022,0.9984999999999999,0.0002,0.0013,2,0.0001,"[96, 181]","[157, 182]"
1816,YFS - Redirect - Fluent - £100 reward,175,163,Member Reward Via Your Freebie Style,2025-09-07,521.14,contact.FIRSTNAME }} Your £100 Member Reward Is Waiting!,28885,19,1,18,0.0007000000000000001,28866,6028,4339,0.17800000000000002,4487,1137,888,0.0308,0.2047,77,0.0027,0.9993000000000001,0.0,0.0006,3,0.0001,[175],[163]
1820,YFS - Redirect - ForYouPromo (FRST Media) - Test and Keep Milka samples (With Email PrePop),150,144,Milka Samples Via Your Freebie Style,2025-09-07,0.0,"contact.FIRSTNAME | default : ""Hey "" }} - Your Milka Testing Kit is Waiting",17980,5,0,5,0.0003,17975,8949,6511,0.40619999999999995,1946,1198,821,0.045700000000000005,0.1261,75,0.0042,0.9997,0.0,0.0003,2,0.0001,[150],[144]
1821,YFS - Redirect - YouSweep - Paypal,175,187,Prepaid Paypal Via Your Freebie Style,2025-09-08,567.48,contact.FIRSTNAME }} Your £100 Paypal Card Entry Needs Confirmation,27739,16,0,16,0.0006,27723,6849,4771,0.2043,4369,1191,868,0.0313,0.1819,93,0.0034000000000000002,0.9994,0.0,0.0006,4,0.0001,[175],[187]
1822,YFS - Redirect - Best New Spins (Apr25) (Batched Send),150,94,Your Freebie Style,2025-09-08,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Your 100 Free Spins + No Deposit Offer Awaits!",19228,5,2,3,0.0003,19223,7996,5862,0.33880000000000005,1922,200,154,0.008,0.0263,79,0.0040999999999999995,0.9997,0.0001,0.0002,0,0.0,[150],[94]
1824,YFS - Redirect - Jupiter Gaming - Red Casino (Batched Send),179,94,Red Casino Via Your Freebie Style,2025-09-09,461.78,"contact.FIRSTNAME | default : ""Hello"" }} 5 Free Spins - No Deposit",3437,0,0,0,0.0,3437,1272,807,0.26030000000000003,337,216,150,0.0436,0.1859,4,0.0012,1.0,0.0,0.0,0,0.0,[179],[94]
1825,YFS - Redirect - Fluent - RewardsGiant £100 Cash (Aug25),96,"163,189",100 Cash Reward Via Your Freebie Style,2025-09-09,0.0,contact.FIRSTNAME }} How often do you use cash? You might be able to earn £100!,26298,14,1,14,0.0005,26284,4525,3250,0.1466,4111,782,545,0.0207,0.1677,71,0.0027,0.9995,0.0,0.0005,3,0.0001,[96],"[163, 189]"
1827,YFS - Redirect - Leadscale Labs - Survey Spotter (Mar25 creative) (Batched),List - YFS 1 week,190,Get Paid Via Your Freebie Style,2025-09-09,0.0,contact.FIRSTNAME }} choose a payment method,5026,4,3,1,0.0008,5022,996,675,0.158,749,154,124,0.024700000000000003,0.1837,31,0.0062,0.9992,0.0006,0.0002,0,0.0,[],[190]
1829,YFS - Redirect - Adstart Media - ALDI (Jul25),96,"89,151",250 Aldi Via Your Freebie Style,2025-09-10,456.49,contact.FIRSTNAME }} Your ALDI Gift Card Entry Needs Confirmation,28093,13,4,11,0.0005,28080,5034,3492,0.1462,4192,927,668,0.023799999999999998,0.1913,94,0.0033,0.9995,0.0001,0.0004,2,0.0001,[96],"[89, 151]"
1831,YFS - Redirect - Fluent - Reward Available (Batched),"List - YFS 1 week,YFS 2 weeks,YFS active","163,189",2) Rewards Via Your Freebie Style,2025-09-10,0.0,contact.FIRSTNAME }} Your £250 reward for The Range is waiting!,12662,7,3,6,0.0006,12655,3848,2495,0.2304,1826,841,637,0.050300000000000004,0.2553,62,0.0049,0.9994,0.0002,0.0005,1,0.0001,[],"[163, 189]"
1828,YFS - Redirect - Magnetise - Omaze House Draw (Batched),List - YFS ACTIVE,172,Omaze Via Your Freebie Style,2025-09-11,489.78,contact.FIRSTNAME | default : 'Hello' }} You Could Win This £3m House,17779,7,1,6,0.0004,17772,4406,3100,0.20489999999999997,2643,413,302,0.017,0.0974,41,0.0023,0.9995999999999999,0.0001,0.0003,0,0.0,[],[172]
1837,YFS - Redirect - HeyPiggy (Jul25 Creative),"193,LIST YFS 1 week,YFS 2 weeks","98,149",Paypal Cash Via Your Freebie Style,2025-09-11,0.0,contact.FIRSTNAME }} Your Free PayPal Cash Is Waiting,28074,15,3,14,0.0005,28059,6995,4814,0.1936,3187,1412,1027,0.0366,0.2133,70,0.0025,0.9995,0.0001,0.0005,4,0.0001,[193],"[98, 149]"
1841,YFS - Redirect - Fluent - Apple iPhones (batched),List YFS active,"189,163",Iphone 17 Via Your Freebie Style,2025-09-11,0.0,contact.FIRSTNAME }} Be one of the first to get the new iPhone,6867,1,0,1,0.0001,6866,2138,1361,0.231,975,299,215,0.0313,0.158,22,0.0032,0.9998999999999999,0.0,0.0001,1,0.0001,[],"[189, 163]"
